Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,Roost of origin,Video reference,Notes
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,49,17:54:50,17:54:56,20230708,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00152,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,50,18:05:07,18:05:12,20230708,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00153,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,51,18:05:07,18:06:36,20230708,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00153,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,52,10:56:13,10:56:34,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00154,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,53,10:58:01,10:59:28,20230709,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00155,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,54,10:58:01,10:58:40,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00155,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,55,10:59:48,11:01:39,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00156 to 157,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,56,11:04:02,11:04:03,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00158,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,57,11:04:15,11:04:16,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00158,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,58,11:06:07,11:15:58,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00159 to 164,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,59,11:06:10,11:06:38,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00159 ,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,60,11:07:53,11:07:57,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00159 ,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,61,11:17:05,11:17:51,20230709,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00165,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,62,11:18:02,11:19:02,20230709,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00166,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,63,11:19:41,11:20:50,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00166 to 167,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,64,11:19:47,11:19:51,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00166,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,65,11:24:38,11:24:39,20230709,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00168,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,66,17:33:03,17:34:21,20230709,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00203,
